,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.0,0.0,0.0
3,1.6733333333333336,0.0,0.0,0.0
4,2.227777777777778,0.0,0.0,0.0
5,2.7822222222222224,0.0,0.0,0.0
6,3.336666666666667,0.022998954447045847,0.06722324035601991,0.2677153726273235
7,3.8911111111111114,0.05239879235220561,0.1236873793600517,0.6447405868767433
8,4.445555555555556,0.07421555058004592,0.14585639519955063,0.972688243782703
9,5.0,0.09242636093865705,0.15547844943144346,1.2999573384056426
