,U,delta_0,delta_1,delta_2
0,0.01,0.0038253444537212702,0.0004271597028911466,3.0459133223385995e-05
1,0.5644444444444445,0.008603252741518356,0.001330530737349509,0.004452970794825317
2,1.118888888888889,0.013933839865920226,0.002904097200455572,0.016763597201658622
3,1.6733333333333336,0.024365102056556058,0.0067573474134031055,0.05274898652649897
4,2.227777777777778,0.048335156414006625,0.018272195223693194,0.17801654476590245
5,2.7822222222222224,0.0886701713939465,0.043994922744759954,0.5291000103912431
6,3.336666666666667,0.11603561196161781,0.0646046845127234,0.950028135680876
7,3.8911111111111114,0.1296809194960821,0.07561464281748492,1.3298609412911075
8,4.445555555555556,0.13654601493851315,0.08141917474800545,1.6806268452197548
9,5.0,0.13984308783060612,0.08447740794539674,2.0135912577742667
