,U,delta_0,delta_1,delta_2
0,0.01,0.02357925760575779,0.011133609684807349,8.903609569480534e-05
1,0.5644444444444445,0.03241497567319021,0.015013359291152401,0.00811855883872183
2,1.118888888888889,0.04569018536236534,0.020742598394744786,0.028119298967805212
3,1.6733333333333336,0.06512886718363521,0.02911884090785325,0.07787619618289024
4,2.227777777777778,0.0911342590107146,0.04092899805727672,0.19929552173641216
5,2.7822222222222224,0.11662245746723074,0.055502183488810586,0.44011360921781056
6,3.336666666666667,0.13287129843825946,0.0690381024759829,0.7742333955894962
7,3.8911111111111114,0.1406871107725613,0.07887247448433445,1.135942493040567
8,4.445555555555556,0.14363537997914883,0.08520531117365887,1.4933076741216451
9,5.0,0.14389423540378543,0.08891226342367825,1.8389182694975277
