,U,delta_0,delta_1,delta_2
0,0.01,0.009180979719212605,0.34921063990832923,0.0013912437255889538
1,0.5644444444444445,0.01620255277833442,0.34636974526824127,0.08608689997409627
2,1.118888888888889,0.024298520161306326,0.3421495191884145,0.18731241627692377
3,1.6733333333333336,0.033582119280768194,0.3364434371668132,0.3079248305682961
4,2.227777777777778,0.04390561577864896,0.32897707201776727,0.4519048310661463
5,2.7822222222222224,0.05530487134340101,0.3192617862796414,0.6229697409326675
6,3.336666666666667,0.06730042824014865,0.3069609635366999,0.8238774926332291
7,3.8911111111111114,0.07921130543962909,0.2920049714658317,1.0548447142448731
8,4.445555555555556,0.09024559548692265,0.27495040690186656,1.3124423669258207
9,5.0,0.09978629035134153,0.2572234591495264,1.590312060849369
