,U,delta_0,delta_1,delta_2
0,0.01,0.000739694192233543,0.005127635459427501,2.218353528081643e-05
1,0.5644444444444445,0.005979967397143761,0.0075146145108768,0.2791716408277839
2,1.118888888888889,0.006593027889303477,0.007118287807285526,0.556683998746067
3,1.6733333333333336,0.0066085167468641634,0.0069022527578548876,0.8341281638052735
4,2.227777777777778,0.006613462975605308,0.006746407776673746,1.111452683040206
5,2.7822222222222224,0.006539572438835099,0.0065756687516612105,1.3887691906952186
6,3.336666666666667,0.006491261505172942,0.006499868646756957,1.6661337945323211
7,3.8911111111111114,0.0072137031585357584,0.005197864755617416,1.943439948138914
8,4.445555555555556,0.004945785524861607,-0.00355842852392348,2.220792827218933
9,5.0,0.0020785612100834455,-0.0051684464156666315,2.4982062810759547
