,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.09726562500000002,0.09726562500000002,0.09726562500000002
2,1.118888888888889,0.21130756578947368,0.21130756578947368,0.21130756578947368
3,1.6733333333333336,0.3466282894736842,0.3466282894736842,0.3466282894736842
4,2.227777777777778,0.5085629111842105,0.5085629111842105,0.5085629111842105
5,2.7822222222222224,0.7024079975328948,0.7024079975328948,0.7024079975328948
6,3.336666666666667,0.9309930098684209,0.9309930098684209,0.9309930098684209
7,3.8911111111111114,1.1925370065789473,1.1925370065789473,1.1925370065789473
8,4.445555555555556,1.4799316406249998,1.4799316406249998,1.4799316406249998
9,5.0,1.7837402343750006,1.7837402343750006,1.7837402343750006
