,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.09738898026315791,0.09738898026315791,0.09738898026315791
2,1.118888888888889,0.22342722039473684,0.22342722039473684,0.22342722039473684
3,1.6733333333333336,0.38718133223684204,0.38718133223684204,0.38718133223684204
4,2.227777777777778,0.5991365131578947,0.5991365131578947,0.5991365131578947
5,2.7822222222222224,0.8591771175986841,0.8591771175986841,0.8591771175986841
6,3.336666666666667,1.151656301398026,1.151656301398026,1.151656301398026
7,3.8911111111111114,1.4581748560855265,1.4581748560855265,1.4581748560855265
8,4.445555555555556,1.7680664062500007,1.7680664062500007,1.7680664062500007
9,5.0,2.0769287109375014,2.0769287109375014,2.0769287109375014
