,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.026500000000000003,0.026500000000000003,0.026500000000000003
3,1.6733333333333336,0.1551192434210526,0.1551192434210526,0.1551192434210526
4,2.227777777777778,0.42333984375,0.42333984375,0.42333984375
5,2.7822222222222224,0.7594829358552633,0.7594829358552633,0.7594829358552633
6,3.336666666666667,1.0966822574013158,1.0966822574013158,1.0966822574013158
7,3.8911111111111114,1.4235505756578948,1.4235505756578948,1.4235505756578948
8,4.445555555555556,1.7419189453125006,1.7419189453125006,1.7419189453125006
9,5.0,2.054077148437501,2.054077148437501,2.054077148437501
