,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.0,0.0,0.0
3,1.6733333333333336,0.0,0.0,0.0
4,2.227777777777778,0.0,0.0,0.0
5,2.7822222222222224,0.0,0.0,0.0
6,3.336666666666667,0.3972039473684211,0.3972039473684211,0.3972039473684211
7,3.8911111111111114,0.9350637335526315,0.9350637335526315,0.9350637335526315
8,4.445555555555556,1.3243459601151315,1.3243459601151315,1.3243459601151315
9,5.0,1.6750488281250004,1.6750488281250004,1.6750488281250004
