,U,delta_0,delta_1
0,0.01,-4.22840484571688e-05,-3.247943976322119e-05
1,0.6755555555555556,0.003254490463357082,0.0032575114777219703
2,1.3411111111111111,-0.009227838955427618,-0.00920215562770188
3,2.0066666666666664,0.02360271780114412,0.02361788875178359
4,2.672222222222222,-0.1152401299268125,-0.11525811565412653
5,3.3377777777777777,-0.9032492104969556,-0.9032221981600934
6,4.003333333333333,1.3919275993119202,1.3919063891151282
7,4.668888888888889,-1.8037671741157117,-1.8037848952293059
8,5.334444444444444,-2.1933696109027236,-2.193374766045413
9,6.0,-2.571242180302761,-2.5712552294262423
