,U,delta_0,delta_1
0,0.01,0.0,0.0
1,0.5644444444444445,0.002624908447265625,0.0026341247558593754
2,1.118888888888889,0.0067592773437500035,0.006801269531250001
3,1.6733333333333336,0.014555786132812498,0.01452331542968751
4,2.227777777777778,0.03437145996093752,0.034349243164062515
5,2.7822222222222224,0.2427481437763689,0.24271877156570526
6,3.336666666666667,0.902281486325783,0.9023008374035846
7,3.8911111111111114,1.3181424996065816,1.3181645452469206
8,4.445555555555556,1.669008035782984,1.6689857495591705
9,5.0,1.9994218538454187,1.9993888296300166
