,U,delta_0,delta_1
0,0.01,0.0,0.0
1,0.5644444444444445,0.0,0.0
2,1.118888888888889,0.05244148418199994,0.052385276909851494
3,1.6733333333333336,0.19294722394184466,0.19293518951407787
4,2.227777777777778,0.40930693608855734,0.40934586933029715
5,2.7822222222222224,0.6804824376319485,0.6804173466087758
6,3.336666666666667,0.981693277121837,0.9816880395743688
7,3.8911111111111114,1.2948148250075064,1.2948345594867003
8,4.445555555555556,1.6106071101160184,1.6106438900887952
9,5.0,1.9252931296952926,1.925343097849853
