,U,delta_0,delta_1
0,0.01,4.093755820797508e-05,-3.2497765978374178e-06
1,0.6755555555555556,-0.005326744512115799,-0.005304473648337386
2,1.3411111111111111,-0.048760801835574,-0.048751322613832665
3,2.0066666666666664,-0.21796077627100535,-0.21798407188371682
4,2.672222222222222,0.48132806748397194,0.48134882144097996
5,3.3377777777777777,-0.7908161313877684,-0.7908316717207768
6,4.003333333333333,-1.1260465571104814,-1.126102096313891
7,4.668888888888889,-1.4775054792986624,-1.4775128593304738
8,5.334444444444444,-1.838955592005361,-1.839008209280355
9,6.0,-2.205947914614022,-2.2059330867055595
