,U,delta_0,delta_1
0,0.01,0.0,0.0
1,0.5644444444444445,0.0005092773437500001,0.00055126953125
2,1.118888888888889,0.0019521484375,0.0019580078125
3,1.6733333333333336,0.010548828125000007,0.010560546875
4,2.227777777777778,0.045012451171875016,0.045044189453124994
5,2.7822222222222224,0.1310663025238012,0.1310291113822084
6,3.336666666666667,0.2843056316793847,0.2843198929361902
7,3.8911111111111114,0.5010817999688079,0.5010455983114966
8,4.445555555555556,0.7654171015111435,0.7653496721514352
9,5.0,1.060308950301796,1.0603180319510437
