,U,delta_0,delta_1
0,0.01,4.093755820797508e-05,-3.2497765978374178e-06
1,0.6755555555555556,4.093755820797508e-05,-3.2497765978374178e-06
2,1.3411111111111111,4.992465868427625e-05,4.394297598403638e-05
3,2.0066666666666664,0.08544246597509597,0.08544703494561356
4,2.672222222222222,-0.4472083904800361,-0.4471977173533034
5,3.3377777777777777,-0.9581210685144852,-0.9581093861622658
6,4.003333333333333,1.3890845265709928,1.3890674924135196
7,4.668888888888889,-1.788816078374351,-1.7887872595363565
8,5.334444444444444,2.1741609097297485,2.1742085111600016
9,6.0,-2.550447092781269,-2.5503850821269225
