,U,delta_0,delta_1
0,0.01,4.093755820797508e-05,-3.2497765978374178e-06
1,0.6755555555555556,3.481923864382985e-05,-1.4838346632724998e-05
2,1.3411111111111111,0.09907304753831209,0.09907859093570885
3,2.0066666666666664,0.3150301882736747,0.315092149424967
4,2.672222222222222,-0.6235041154401476,-0.6235707215474624
5,3.3377777777777777,-0.9823084725896933,-0.9822764058808985
6,4.003333333333333,-1.3586982761234696,-1.3586439113672848
7,4.668888888888889,-1.7376386893485543,-1.7375876956751344
8,5.334444444444444,2.1140090096422264,2.1139777829949824
9,6.0,-2.486387247067796,-2.48636173759769
