,U,delta_0,delta_1
0,0.01,0.0,0.0
1,0.5644444444444445,0.003146874427795413,0.0030964970588684086
2,1.118888888888889,0.024716613769531257,0.02470941162109375
3,1.6733333333333336,0.11680057272315021,0.11685293736426469
4,2.227777777777778,0.2982018580170055,0.2982186467239732
5,2.7822222222222224,0.5301089647936781,0.5301374242837098
6,3.336666666666667,0.7902653332954575,0.7902970117083417
7,3.8911111111111114,1.0681757965426903,1.0682302909354853
8,4.445555555555556,1.3582360930721689,1.358166508231845
9,5.0,1.6564002292204347,1.6563881466517156
