,U,delta_0,delta_1
0,0.01,4.093755820797508e-05,-3.2497765978374178e-06
1,0.6755555555555556,-0.005513849107573245,-0.005551890221938515
2,1.3411111111111111,0.07644137647002894,0.07647133633298328
3,2.0066666666666664,-0.2907334748290993,-0.2906908921163691
4,2.672222222222222,-0.5871841177063766,-0.5871397807297734
5,3.3377777777777777,-0.9210526315789473,-0.9210526315789473
6,4.003333333333333,1.2744824842556175,1.274453983497647
7,4.668888888888889,-1.6379262864387227,-1.637939833124451
8,5.334444444444444,-2.0056462308979324,-2.0056751534539043
9,6.0,-2.374257700606222,-2.374276525674304
