,U,delta_0,delta_1,delta_2
0,0.01,2.763097924072933e-05,3.744292547682249e-05,1.4721298260401904e-05
1,0.43714285714285717,1.970165056043665e-08,-5.900408380455152e-06,-3.3033503095291664e-05
2,0.8642857142857143,-0.008394426502603912,-0.0013241553849150977,-0.008549553531695443
3,1.2914285714285716,-0.02854648897562149,-0.007896049359518978,-0.03064543100851225
4,1.7185714285714286,-0.08904946020775786,-0.03818936336668596,-0.10321239306438458
5,2.1457142857142855,-0.23707024678152344,-0.15051468832381887,-0.3073712985136682
6,2.572857142857143,-0.46439963959894925,-0.39709343765696636,-0.6404544323611414
7,3.0,-0.7019550417635458,-0.6946271590938409,-0.9590087704409541
