,U,delta_0,delta_1,delta_2
0,0.01,-1.22174191193572E-08,2.90086980292126E-08,-8.89736256775468E-09
1,0.152380952380952,1.07644907493923E-06,4.67946215294854E-07,-4.83381873877352E-07
2,0.223571428571429,-0.00277309362902711,-0.00336315470117476,-0.00351292900607758
3,0.437142857142857,-9.42189141708874E-05,-2.26976543190887E-06,-0.00020604508907743
4,0.57952380952381,-0.0059181651555297,3.15860927310027E-05,-0.00538476547390057
5,0.650714285714286,0.0120153311621168,0.00284172703588777,0.0108258152601215
6,0.864285714285714,-0.0230441652077667,-0.00815067906245779,-0.0220697862305179
7,1.00666666666667,-0.0519510291036916,-0.0100708018980781,-0.0445153491660816
8,1.07785714285714,0.044320227567406,0.00811052946417423,0.0525647838008555
9,1.29142857142857,-0.0934337401310286,-0.0216057560478304,-0.0845204447615986
10,1.43380952380952,0.123835877451798,0.0382924533906734,0.107391685011086
11,1.505,0.146475141568495,0.0506491511591035,0.126572580489765
12,1.71857142857143,-0.20741922814458,-0.07016242084705,-0.176984339970868
13,1.86095238095238,0.248447294309826,0.0925905883876409,0.207549884769456
14,1.93214285714286,0.273835624084844,0.103057939581942,0.233250570093934
15,2.14571428571429,-0.320946060460003,-0.136212048971194,-0.292500407561853
16,2.28809523809524,-0.384054536302501,-0.174933041502188,-0.320575449239487
17,2.35928571428571,0.402927390950203,0.182257846536249,0.364044370146033
18,2.57285714285714,-0.484165246947705,-0.230931302252144,-0.434276476527236
19,2.71523809523809,-0.534871751758012,-0.268775661289546,-0.474806432738528
20,2.78642857142857,-0.558794777143497,-0.304849588121922,-0.506730120590082
21,3,0.651239432943074,0.376085840166174,0.580652283967664
