,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.05191544987786343,0.05077744972359323,0.0008957411903328404
3,1.6733333333333336,0.19215159860657854,0.18992929459099092,0.007254350163364625
4,2.227777777777778,0.4098153898944607,0.4070069785505278,0.49332087181038353
5,2.7822222222222224,0.6805133327801751,0.6792336594492276,0.9658834544237351
6,3.336666666666667,0.9811272324039895,0.9810964702390559,1.3337989584894476
7,3.8911111111111114,1.2939677593514933,1.2945541345302252,1.667147024576312
8,4.445555555555556,1.6096536788040106,1.6105330908807116,1.983404567433943
9,5.0,1.9242676591348753,1.9252356670934663,2.2896518391239855
