,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.0,0.0,0.0
2,1.118888888888889,0.0,0.0,0.0
3,1.6733333333333336,0.0,0.0,0.0
4,2.227777777777778,0.0,0.0,0.0
5,2.7822222222222224,0.0,0.0,0.0
6,3.336666666666667,0.33663011677785837,0.7048242397274471,0.49533658368059386
7,3.8911111111111114,0.7046244517503315,1.1848515472529848,0.9395330996083167
8,4.445555555555556,1.0537429034983443,1.5639932975751414,1.3237482751385097
9,5.0,1.3930029265702981,1.9069941584147407,1.6793315021125452
