,U,delta_0,delta_1,delta_2
0,0.01,-4.81072049553989E-09,-4.71856712504713E-09,-4.99426541156338E-09
1,0.152380952380952,-7.24142552241708E-09,-7.91792742066943E-09,-7.26729073721498E-09
2,0.223571428571429,-8.68224261917693E-09,-8.10074890456854E-09,-4.37546763434353E-09
3,0.437142857142857,6.17101806431357E-09,8.81687655779717E-09,2.18444703541739E-09
4,0.57952380952381,4.62540378523067E-09,-1.95865842544796E-09,-1.07392224676043E-08
5,0.650714285714286,-0.00444106996957405,-0.00409593159962363,0.000682535924911853
6,0.864285714285714,-8.34993236904106E-09,-3.52180586468902E-08,-1.48071084544763E-08
7,1,2.15607112591154E-08,6.80952963795719E-09,-6.91004027012948E-09
8,1.00666666666667,-2.19847767624159E-08,-1.1771543842264E-08,-3.29230424825162E-08
9,1.07785714285714,0.00190189611841417,0.00291989023535294,0.00308060695329907
10,1.25,-9.12537029458612E-09,-1.35107901480581E-08,-2.75949899628514E-08
11,1.29142857142857,-3.90209574630963E-06,3.25363621002328E-06,1.24893671796311E-05
12,1.43380952380952,0.00447198284712083,0.00447916151371935,0.0179635408017355
13,1.5,1.35932799523886E-08,-1.19909276425235E-08,3.04284298302798E-08
14,1.505,-0.00354556208916415,-0.013063206528481,-0.0276438188092947
15,1.625,0.0641796277698245,0.121975785214166,0.238985340467703
16,1.71857142857143,0.0936835286367654,0.185220321644872,0.344738394641218
17,1.75,0.109974900230181,0.187478700857287,0.368925973776038
18,1.86095238095238,0.147372537425351,0.235541171569546,0.459333984363749
19,1.875,-0.1451782165823,-0.262892174088749,-0.472540456886895
20,1.93214285714286,-0.174307940800797,-0.285857552933927,-0.511670691234698
21,2,-0.204373482684591,-0.312926316293295,-0.564936857539927
22,2.14571428571429,-0.254336208310053,-0.393805142055758,-0.649678397172017
23,2.28809523809524,-0.314262556090959,-0.464336532629726,-0.752439232496125
24,2.35928571428571,0.33278379378419,0.485631211590111,0.788571400450304
25,2.57285714285714,0.436753126425805,0.614257424740946,0.923230164996718
26,2.71523809523809,-0.517446123902587,-0.68666788720595,-1.01030053191206
27,2.78642857142857,-0.541919685141368,-0.721560176237143,-1.05201978240296
28,3,-0.659760805457832,-0.849314071321283,-1.16793086580621
