,U,delta_0,delta_1,delta_2
0,0.1,0.0,0.0,0.0
1,0.7555555555555555,0.0,0.0,0.0
2,1.4111111111111112,0.0,0.0,0.0
3,2.066666666666667,0.06962601886775567,0.467030714115664,0.19926986796194657
4,2.7222222222222223,0.20225946338265738,0.8610529913926402,0.42756995430211053
5,3.3777777777777778,0.4238612523927164,1.2113861994331803,0.7115520975233541
6,4.033333333333333,0.7529458710360533,1.5572247798544074,1.0781290726985144
7,4.688888888888888,1.1496086922159678,1.9068852260774452,1.4893818276824629
8,5.344444444444444,1.5656493207381015,2.259259392088138,1.9039792159571267
9,6.0,1.9796416546063904,2.6119725693145934,2.3079265797757653
