,U,delta_0,delta_1,delta_2
0,0.1,0.0002083547230106106,0.03138801485052725,0.011524000780890564
1,0.7555555555555555,0.011749189812121526,0.26126731394958136,0.11295635737817264
2,1.4111111111111112,0.04615495244934609,0.507563331693148,0.22298372979991088
3,2.066666666666667,0.11354740290794124,0.76987361100938,0.3532810535526927
4,2.7222222222222223,0.23230290587929792,1.0465156345318387,0.523503955779799
5,3.3777777777777778,0.4315509400606048,1.3366305960234688,0.7633357071129763
6,4.033333333333333,0.7359495328628005,1.6424565849741342,1.094089337860888
7,4.688888888888888,1.1241923146279822,1.9664048023708647,1.4908295530176385
8,5.344444444444444,1.5451214519361072,2.3038741777384653,1.905501696579452
9,6.0,1.9673608461006262,2.6481755539887883,2.313465587241939
