,U,delta_0,delta_1,delta_2
0,0.1,0.0,0.0,0.0
1,0.7555555555555555,0.029308548355233242,0.002433942889901926,0.026894578771630942
2,1.4111111111111112,0.14688343853010732,0.0250004851550888,0.13039500888373082
3,2.066666666666667,0.32791242743817456,0.08915373394016457,0.2911200435474888
4,2.7222222222222223,0.5520050951290427,0.21767507997135602,0.4999676201844301
5,3.3777777777777778,0.8123140640028688,0.44643004453502644,0.7607480338772199
6,4.033333333333333,1.1011644726920249,0.8019610489869674,1.0720757495070883
7,4.688888888888888,1.406647788374729,1.2348140362289075,1.415175043125474
8,5.344444444444444,1.7222884076014857,1.673321872016564,1.7702408251144208
9,6.0,2.047479052877674,2.0944355706867563,2.1292689752129306
