,U,delta_0,delta_1,delta_2
0,0.01,0.0,0.0,0.0
1,0.5644444444444445,0.010629755879510027,0.09293831544833583,0.1803352733841366
2,1.118888888888889,0.04825904275593941,0.19578701525871167,0.3854673257034791
3,1.6733333333333336,0.12641217486906225,0.3237014384261141,0.6137930186048683
4,2.227777777777778,0.2701280242514832,0.5035945534901776,0.8616920647059689
5,2.7822222222222224,0.5073464151973053,0.758189640545565,1.129213465306094
6,3.336666666666667,0.8208519440611342,1.0652824709156103,1.4174119664126816
7,3.8911111111111114,1.1609757148663453,1.3865739678583755,1.7156446555888851
8,4.445555555555556,1.5021089266296328,1.7073098710128474,2.014667332130779
9,5.0,1.837436725611977,2.0240212763996546,2.311348730374221
